Code,Company,Industry,Exchange
GAMMNINFRA,Gammon Infrastructure Projects Limited,Construction & Engineering,NSE
GANDHITUBE,Gandhi Special Tubes Limited,Iron & Steel Products,BSE
GANDHITUBE,Gandhi Special Tubes Limited,Iron & Steel Products,NSE
GANECOS,Ganesha Ecosphere Limited,Misc.Commercial Services,NSE
GANECOS,Ganesha Ecosphere Limited,Misc.Commercial Services,BSE
GANESHBE,GANESH BENZOPLAST LTD.,Commodity Chemicals,BSE
GANESHHOUC,Ganesh Housing Corporation Limited,Realty,NSE
GANESHHOUC,Ganesh Housing Corporation Limited,Realty,BSE
GANGAPA,GANGA PAPERS INDIA LTD.,Paper & Paper Products,BSE
GANGAPHARM,Ganga Pharmaceuticals Ltd,Pharmaceuticals,BSE
GANGESSEC,Ganges Securities Ltd,Investment Companies,BSE
GANGESSECU,Ganges Securities Limited,,NSE
GANHOLD,GANESH HOLDINGS LTD.,Misc.Commercial Services,BSE
GANONPRO,Ganon Products Ltd,Comm.Trading  & Distribution,BSE
GARBIFIN,Garbi Finvest Ltd,Finance (including NBFCs),BSE
GARFIBRES,Garware Technical Fibres Limited,Textiles,BSE
GARFIBRES,Garware Technical Fibres Limited,Textiles,NSE
GARGFUR,GARG FURNACE LTD.,Iron & Steel/Interm.Products,BSE
GARMNTMNTR,Garment Mantra Lifestyle Ltd,Textiles,BSE
GARNET,GARNET CONSTRUCTION LTD.,Construction & Engineering,BSE
GARNETINT,GARNET INTERNATIONAL LTD.,Other Financial Services,BSE
GARODCH,GARODIA CHEMICALS LTD.,Comm.Trading  & Distribution,BSE
GARWAMAR,GARWARE MARINE INDUSTRIES LTD.,Textiles,BSE
GARWARPOLY,GARWARE POLYESTER LTD.,Commodity Chemicals,BSE
GARWSYN,GARWARE SYNTHETICS LTD.,Comm.Trading  & Distribution,BSE
GATI,GATI Limited,Transportation - Logistics,BSE
GATI,GATI Limited,Transportation - Logistics,NSE
GAYAHWS,Gayatri Highways Limited,Construction & Engineering,BSE
GAYAHWS,Gayatri Highways Limited,Construction & Engineering,NSE
GAYAPROJ,Gayatri Projects Limited,Construction & Engineering,NSE
GAYAPROJ,Gayatri Projects Limited,Construction & Engineering,BSE
GAYATRI,GAYATRI SUGARS LTD.,Sugar,BSE
GAYATRIBI,GAYATRI BIOORGANICS LTD.,Commodity Chemicals,BSE
GBFL,Goenka Business & Finance Ltd,Finance (including NBFCs),BSE
GBGLOBAL,GB Global Limited,Textiles,BSE
GBGLOBAL,GB Global Limited,Textiles,NSE
GBLIL,GBL Industries Ltd,Construction & Engineering,BSE
GCKL,Galaxy Cloud Kitchens Ltd-$,Packaged Foods,BSE
GCMCAPI,GCM Capital Advisors Ltd,Other Financial Services,BSE
GCMCOMM,GCM Commodity & Derivatives Ltd,Other Financial Services,BSE
GCMSECU,GCM Securities Ltd,Other Financial Services,BSE
GDL,Gateway Distriparks Limited,Transportation - Logistics,BSE
GDL,Gateway Distriparks Limited,Transportation - Logistics,NSE
GDLLEAS,GDL LEASING & FINANCE LTD.,Finance (including NBFCs),BSE
GDTRAGN,G.D.TRADING & AGENCIES LTD.,Other Financial Services,BSE
GEE,GEE LTD.,Other Industrial Goods,BSE
GEECEE,GeeCee Ventures Limited,Realty,NSE
GEECEE,GeeCee Ventures Limited,Realty,BSE
GEEKAYWIRE,Geekay Wires Limited,,NSE
GEL,Gautam Exim Ltd,Comm.Trading  & Distribution,BSE
GEMSI,GEMSTONE INVESTMENTS LTD.,Misc.Commercial Services,BSE
GEMSPIN,GEM SPINNERS INDIA LTD.,Textiles,BSE
GENCON,Generic Engineering Construction and Projects Limited,Construction & Engineering,NSE
GENCON,Generic Engineering Construction and Projects Limited,Construction & Engineering,BSE
GENERAAGRI,Genera Agri Corp Ltd,Other Agricultural Products,BSE
GENESIS,Genesis Ibrc India Ltd,Biotechnology,BSE
GENESYS,Genesys International Corporation Limited,IT Software Products,NSE
GENESYS,Genesys International Corporation Limited,IT Software Products,BSE
GENNEX,GENNEX LABORATORIES LTD.,Pharmaceuticals,BSE
GENPHARMA,Generic Pharmasec Ltd,Specialty Chemicals,BSE
GENSOL,Gensol Engineering Ltd,Consulting Services,BSE
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products,BSE
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products,NSE
GENUSPOWER,Genus Power Infrastructures Limited,Other Elect.Equip./ Prod.,BSE
GENUSPOWER,Genus Power Infrastructures Limited,Other Elect.Equip./ Prod.,NSE
GENUSPRIME,Genus Prime Infra Ltd,Commodity Chemicals,BSE
GEOJITFSL,Geojit Financial Services Limited,Other Financial Services,NSE
GEOJITFSL,Geojit Financial Services Limited,Other Financial Services,BSE
GEPIL,GE Power India Limited,Heavy Electrical Equipment,BSE
GEPIL,GE Power India Limited,Heavy Electrical Equipment,NSE
GESHIP,The Great Eastern Shipping Company Limited,Shipping,BSE
GESHIP,The Great Eastern Shipping Company Limited,Shipping,NSE
GET&D,GE T&D India Limited,Electric Utilities,BSE
GET&D,GE T&D India Limited,Electric Utilities,NSE
GFIL,Ganesh Films India Ltd,Specialty Retail,BSE
GFLLIMITED,GFL Limited,Industrial Gases,NSE
GFLLIMITED,GFL Limited,Industrial Gases,BSE
GFSTEELS,Grand Foundry Limited,,NSE
GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.,Industrial Machinery,BSE
GGENG,G G Engineering Ltd,Heavy Electrical Equipment,BSE
GGL,Gautam Gems Ltd,Comm.Trading  & Distribution,BSE
GGPL,Gala Global Products Ltd,Comm.Printing/Stationery,BSE
GHCL,GHCL Limited,Commodity Chemicals,BSE
GHCL,GHCL Limited,Commodity Chemicals,NSE
GIANLIFE,Gian Life Care Ltd,Healthcare Services,BSE
GICHSGFIN,GIC Housing Finance Limited,Housing Finance ,BSE
GICHSGFIN,GIC Housing Finance Limited,Housing Finance ,NSE
GICRE,General Insurance Corporation of India,General Insurance,NSE
GICRE,General Insurance Corporation of India,General Insurance,BSE
GILADAFINS,Gilada Finance & Investments Ltd,Finance (including NBFCs),BSE
GILLANDERS,Gillanders Arbuthnot & Company Limited,Diversified,NSE
GILLANDERS,Gillanders Arbuthnot & Company Limited,Diversified,BSE
GILLETTE,Gillette India Limited,Personal Products,NSE
GILLETTE,Gillette India Limited,Personal Products,BSE
GINISILK,GINI SILK MILLS LTD.-$,Comm.Trading  & Distribution,BSE
GINNIFILA,Ginni Filaments Limited,Textiles,NSE
GINNIFILA,Ginni Filaments Limited,Textiles,BSE
GIPCL,Gujarat Industries Power Company Limited,Electric Utilities,NSE
GIPCL,Gujarat Industries Power Company Limited,Electric Utilities,BSE
GISOLUTION,GI Engineering Solutions Limited,Construction & Engineering,BSE
GISOLUTION,GI Engineering Solutions Limited,Construction & Engineering,NSE
GITARENEW,Gita Renewable Energy Ltd,Electric Utilities,BSE
GKB,GKB OPHTHALMICS LTD.,Healthcare Services,BSE
GKCONS,G.K.CONSULTANTS LTD.,Finance (including NBFCs),BSE
GKP,G. K. P. Printing & Packaging Ltd,Containers & Packaging,BSE
GKWLIMITED,GKW Limited,,NSE
GLANCE,GLANCE FINANCE LTD.,Finance (including NBFCs),BSE
GLAND,Gland Pharma Limited,Pharmaceuticals,BSE
GLAND,Gland Pharma Limited,Pharmaceuticals,NSE
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,NSE
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,BSE
GLCL,Globe Commercials Ltd,Comm.Trading  & Distribution,BSE
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,NSE
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,BSE
GLFL,Gujarat Lease Financing Limited,Finance (including NBFCs),NSE
GLFL,Gujarat Lease Financing Limited,Finance (including NBFCs),BSE
GLITTEKG,GLITTEK GRANITES LTD.,Construction Materials,BSE
GLOBAL,Global Education Limited,,NSE
GLOBALCA,GLOBAL CAPITAL MARKETS LTD.,Finance (including NBFCs),BSE
GLOBALVECT,Global Vectra Helicorp Limited,Airlines,BSE
GLOBALVECT,Global Vectra Helicorp Limited,Airlines,NSE
GLOBE,Globe Textiles (India) Limited,,NSE
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,Shipping,BSE
GLOBUSCON,Globus Constructors & Developers Limited,Textiles,BSE
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries,BSE
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries,NSE
GLOSTERLTD,Gloster Ltd,Jute & Jute Products,BSE
GMBREW,GM Breweries Limited,Breweries & Distilleries,NSE
GMBREW,GM Breweries Limited,Breweries & Distilleries,BSE
GMDCLTD,Gujarat Mineral Development Corporation Limited,Coal,NSE
GMDCLTD,Gujarat Mineral Development Corporation Limited,Coal,BSE
GMETCOAL,GUJARAT METALLIC COAL & COKE LTD.-$,Comm.Trading  & Distribution,BSE
GMM,GMM PFAUDLER LTD.,Industrial Machinery,BSE
GMMPFAUDLR,GMM Pfaudler Limited,,NSE
GMPL,G M Polyplast Ltd,Plastic Products,BSE
GMRINFRA,GMR Infrastructure Limited,Airport Services,BSE
GMRINFRA,GMR Infrastructure Limited,Airport Services,NSE
GNA,GNA Axles Limited,Auto Parts & Equipment,NSE
GNA,GNA Axles Limited,Auto Parts & Equipment,BSE
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Fertilizers,BSE
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Fertilizers,NSE
GNRL,Gujarat Natural Resources Limited,Exploration & Production,BSE
GOACARBON,Goa Carbon Limited,Refineries/ Petro-Products,BSE
GOACARBON,Goa Carbon Limited,Refineries/ Petro-Products,NSE
GOBLIN,Goblin India Ltd,Other Apparels & Accessories,BSE
GOCLCORP,GOCL Corporation Limited,Oil Marketing & Distribution,NSE
GOCLCORP,GOCL Corporation Limited,Oil Marketing & Distribution,BSE
GODAVARI,GODAVARI DRUGS LTD.,Pharmaceuticals,BSE
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes-Tobacco Products,NSE
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes-Tobacco Products,BSE
GODHA,Godha Cabcon & Insulation Limited,,NSE
GODREJAGRO,Godrej Agrovet Limited,Other Agricultural Products,BSE
GODREJAGRO,Godrej Agrovet Limited,Other Agricultural Products,NSE
GODREJCP,Godrej Consumer Products Limited,Personal Products,NSE
GODREJCP,Godrej Consumer Products Limited,Personal Products,BSE
GODREJIND,Godrej Industries Limited,Commodity Chemicals,NSE
GODREJIND,Godrej Industries Limited,Commodity Chemicals,BSE
GODREJPROP,Godrej Properties Limited,Realty,NSE
GODREJPROP,Godrej Properties Limited,Realty,BSE
GOENKA,Goenka Diamond and Jewels Limited,Other Apparels & Accessories,NSE
GOENKA,Goenka Diamond and Jewels Limited,Other Apparels & Accessories,BSE
GOGIACAP,Gogia Capital Services Limited,Other Financial Services,BSE
GOKAKTEX,GOKAK TEXTILES LTD.,Textiles,BSE
GOKEX,Gokaldas Exports Limited,Other Apparels & Accessories,BSE
GOKEX,Gokaldas Exports Limited,Other Apparels & Accessories,NSE
GOKUL,Gokul Refoils and Solvent Limited,Edible Oils,NSE
GOKUL,Gokul Refoils and Solvent Limited,Edible Oils,BSE
GOKULAGRO,Gokul Agro Resources Limited,Edible Oils,NSE
GOKULAGRO,Gokul Agro Resources Limited,Edible Oils,BSE
GOLCA,GOLDEN CARPETS LTD.,Furniture-Furnishing-Paints,BSE
GOLDCOINHF,Gold Coin Health Foods Ltd,Packaged Foods,BSE
GOLDCORP,Goldcrest Corporation Limited,Finance (including NBFCs),BSE
GOLDENCREST,Golden Crest Education & Services Ltd,Education,BSE
GOLDENTOBC,Golden Tobacco Limited,Cigarettes-Tobacco Products,NSE
GOLDENTOBC,Golden Tobacco Limited,Cigarettes-Tobacco Products,BSE
GOLDIAM,Goldiam International Limited,Other Apparels & Accessories,NSE
GOLDIAM,Goldiam International Limited,Other Apparels & Accessories,BSE
GOLDLINE,Gold Line International Finvest Ltd,Investment Companies,BSE
GOLDTECH,Goldstone Technologies Limited,IT Consulting & Software,NSE
GOLDTECH,Goldstone Technologies Limited,IT Consulting & Software,BSE
GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,Misc.Commercial Services,BSE
GOLKONDA,Golkonda Aluminium Extrusions Ltd-$,Aluminium,BSE
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.,Other Apparels & Accessories,BSE
GOODLUCK,Goodluck India Limited,Iron & Steel Products,BSE
GOODLUCK,Goodluck India Limited,Iron & Steel Products,NSE
GOODRICKE,GOODRICKE GROUP LTD.,Tea & Coffee,BSE
GOODYEAR,Goodyear India Limited,Auto Tyres & Rubber Products,BSE
GOODYEAR,Goodyear India Limited,Auto Tyres & Rubber Products,NSE
GOPAIST,GOPAL IRON & STEELS CO.(GUJARAT) LTD.,Iron & Steel Products,BSE
GOPALA,GOPALA POLYPLAST LTD.,Containers & Packaging,BSE
GORANIN,GORANI INDUSTRIES LTD.,Houseware,BSE
GOTHIPL,GOTHI PLASCON (INDIA) LTD.,Houseware,BSE
GOVNOW,SAB Events & Governance Now Media Ltd,Publishing,BSE
GOWRALE,GOWRA LEASING & FINANCE LTD.,Finance (including NBFCs),BSE
GOYALASS,GOYAL ASSOCIATES LTD.,Other Financial Services,BSE
GPIL,Godawari Power And Ispat limited,Iron & Steel/Interm.Products,BSE
GPIL,Godawari Power And Ispat limited,Iron & Steel/Interm.Products,NSE
GPL,Grandeur Products Ltd,Other Agricultural Products,BSE
GPPL,Gujarat Pipavav Port Limited,Marine Port & Services,NSE
GPPL,Gujarat Pipavav Port Limited,Marine Port & Services,BSE
GPTINFRA,GPT Infraprojects Limited,Construction & Engineering,BSE
GPTINFRA,GPT Infraprojects Limited,Construction & Engineering,NSE
GRANDFONRY,GRAND FOUNDRY LTD.,Iron & Steel Products,BSE
GRANULES,Granules India Limited,Pharmaceuticals,BSE
GRANULES,Granules India Limited,Pharmaceuticals,NSE
GRAPHITE,Graphite India Limited,Other Industrial Goods,BSE
GRAPHITE,Graphite India Limited,Other Industrial Goods,NSE
GRASIM,Grasim Industries Limited,Cement & Cement Products,NSE
GRASIM,Grasim Industries Limited,Cement & Cement Products,BSE
GRATEXI,GRATEX INDUSTRIES LTD.,Paper & Paper Products,BSE
GRAUWEIL,GRAUER & WEIL (INDIA) LTD.-$,Commodity Chemicals,BSE
GRAVISSHO,GRAVISS HOSPITALITY LTD.,Hotels,BSE
GRAVITA,Gravita India Limited,Other Non-Ferrous Metals,BSE
GRAVITA,Gravita India Limited,Other Non-Ferrous Metals,NSE
GRAVITY,GRAVITY (INDIA) LTD.-$,Textiles,BSE
GREAVESCOT,Greaves Cotton Limited,Industrial Machinery,NSE
GREAVESCOT,Greaves Cotton Limited,Industrial Machinery,BSE
GREENCREST,Greencrest Financial Services Limited,Misc.Commercial Services,BSE
GREENLAM,Greenlam Industries Limited,,NSE
GREENPANEL,Greenpanel Industries Limited,Forest Products,BSE
GREENPANEL,Greenpanel Industries Limited,Forest Products,NSE
GREENPLY,Greenply Industries Limited,Forest Products,BSE
GREENPLY,Greenply Industries Limited,Forest Products,NSE
GREENPOWER,Orient Green Power Company Limited,Electric Utilities,BSE
GREENPOWER,Orient Green Power Company Limited,Electric Utilities,NSE
GRINDWELL,Grindwell Norton Limited,Other Industrial Products,NSE
GRINDWELL,Grindwell Norton Limited,Other Industrial Products,BSE
GRMOVER,GRM OVERSEAS LTD.,Other Agricultural Products,BSE
GRNLAMIND,Greenlam Industries Ltd,Furniture-Furnishing-Paints,BSE
GROBTEA,The Grob Tea Company Limited,,NSE
GROVY,Grovy India Ltd,Real Estate Investment,BSE
GRPLTD,GRP Limited,Auto Tyres & Rubber Products,NSE
GRPLTD,GRP Limited,Auto Tyres & Rubber Products,BSE
GRSE,Garden Reach Shipbuilders & Engineers Limited,Commercial Vehicles,NSE
GRSE,Garden Reach Shipbuilders & Engineers Limited,Commercial Vehicles,BSE
GSAUTO,G.S.AUTO INTERNATIONAL LTD.,Auto Parts & Equipment,BSE
GSBFIN,GSB FINANCE LTD.,Finance (including NBFCs),BSE
GSCLCEMENT,Gujarat Sidhee Cement Limited,Cement & Cement Products,BSE
GSCLCEMENT,Gujarat Sidhee Cement Limited,Cement & Cement Products,NSE
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilizers,NSE
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilizers,BSE
GSLSEC,GSL SECURITIES LTD.,Finance (including NBFCs),BSE
GSPL,Gujarat State Petronet Limited,Utilities:Non-Elec.,NSE
GSPL,Gujarat State Petronet Limited,Utilities:Non-Elec.,BSE
GSS,GSS Infotech Limited,IT Consulting & Software,NSE
GSS,GSS Infotech Limited,IT Consulting & Software,BSE
GSTL,Globalspace Technologies Ltd,IT Consulting & Software,BSE
GTL,GTL Limited,Other Telecom Services,NSE
GTL,GTL Limited,Other Telecom Services,BSE
GTLINFRA,GTL Infrastructure Limited,Telecom Equipment,BSE
GTLINFRA,GTL Infrastructure Limited,Telecom Equipment,NSE
GTNINDS,GTN INDUSTRIES LTD.,Textiles,BSE
GTNTEX,GTN Textiles Limited,Textiles,NSE
GTNTEX,GTN Textiles Limited,Textiles,BSE
GTPL,GTPL Hathway Limited,Other Telecom Services,BSE
GTPL,GTPL Hathway Limited,Other Telecom Services,NSE
GTV,GTV Engineering Ltd,Industrial Machinery,BSE
GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals,BSE
GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals,NSE
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Commodity Chemicals,NSE
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Commodity Chemicals,BSE
GUJAPOLLO,Gujarat Apollo Industries Limited,Commercial Vehicles,BSE
GUJAPOLLO,Gujarat Apollo Industries Limited,Commercial Vehicles,NSE
GUJARATPOLY,Gujarat Poly Electronics Ltd,Other Elect.Equip./ Prod.,BSE
GUJCMDS,GUJCHEM DISTILLERS INDIA LTD.,Commodity Chemicals,BSE
GUJCONT,GUJARAT CONTAINERS LTD.,Iron & Steel Products,BSE
GUJCOTEX,GUJARAT COTEX LTD.,Textiles,BSE
GUJCRAFT,GUJARAT CRAFT INDUSTRIES LTD.,Containers & Packaging,BSE
GUJCRED,GUJARAT CREDIT CORPORATION LTD.,Other Financial Services,BSE
GUJGAS,Gujarat Gas Ltd,Integrated Oil & Gas,BSE
GUJGASLTD,Gujarat Gas Limited,,NSE
GUJHOTE,GUJARAT HOTELS LTD.,Hotels,BSE
GUJHYSPIN,Gujarat Hy-Spin Ltd,Textiles,BSE
GUJINTRX,GUJARAT INTRUX LTD.-$,Other Industrial Products,BSE
GUJINV,GUJARAT INVESTA LTD.,Finance (including NBFCs),BSE
GUJPETR,GUJARAT PETROSYNTHESE LTD.,Fibres & Plastics,BSE
GUJRAFFIA,Gujarat Raffia Industries Limited,,NSE
GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,Containers & Packaging,BSE
GUJSTATFIN,Gujarat State Financial Corporation,Financial Institutions,BSE
GUJTERC,GUJARAT TERCE LABORATORIES LTD.,Pharmaceuticals,BSE
GUJTHEM,GUJARAT THEMIS BIOSYN LTD.,Pharmaceuticals,BSE
GUJTLRM,GUJARAT TOOLROOM LTD.,Plastic Products,BSE
GULFOILLUB,Gulf Oil Lubricants India Limited,Oil Marketing & Distribution,BSE
GULFOILLUB,Gulf Oil Lubricants India Limited,Oil Marketing & Distribution,NSE
GULFPETRO,GP Petroleums Limited,Oil Marketing & Distribution,NSE
GULFPETRO,GP Petroleums Limited,Oil Marketing & Distribution,BSE
GULPOLY,Gulshan Polyols Limited,Commodity Chemicals,NSE
GULPOLY,Gulshan Polyols Limited,Commodity Chemicals,BSE
GVBL,Genomic Valley Biotech Ltd,Biotechnology,BSE
GVFILM,GV FILMS LTD.,Movies & Entertainment,BSE
GYANDEV,GYAN DEVELOPERS & BUILDERS LTD.,Realty,BSE
GYTRIPA,GAYATRI TISSUE & PAPERS LTD.,Realty,BSE
HAL,Hindustan Aeronautics Limited,Aerospace,BSE
HAL,Hindustan Aeronautics Limited,Aerospace,NSE
HALDER,Halder Venture Ltd,Other Agricultural Products,BSE
HALDYNGL,Haldyn Glass Ltd-$,Containers & Packaging,BSE
HANMAN,Hanman Fit Ltd,Other Leisure Facilities,BSE
HAPPSTMNDS,Happiest Minds Technologies Limited,IT Consulting & Software,NSE
HAPPSTMNDS,Happiest Minds Technologies Limited,IT Consulting & Software,BSE
HARDCAS,HARDCASTLE & WAUD MFG.CO.LTD.,Specialty Chemicals,BSE
HARDWYN,Hardwyn India Ltd,Comm.Trading  & Distribution,BSE
HARIAAPL,Haria Apparels Ltd,Textiles,BSE
HARIAEXPO,HARIA EXPORTS LTD.-$,Other Apparels & Accessories,BSE
HARIGOV,HARI GOVIND INTERNATIONAL LTD.,Textiles,BSE
HARISH,Harish Textile Engineers Ltd,Industrial Machinery,BSE
HARLETH,HARYANA LEATHER CHEMICALS LTD.,Commodity Chemicals,BSE
HARRMALAYA,Harrisons  Malayalam Limited,Auto Tyres & Rubber Products,NSE
HARRMALAYA,Harrisons  Malayalam Limited,Auto Tyres & Rubber Products,BSE
HARYNACAP,HARYANA CAPFIN LTD.,Investment Companies,BSE
HASJUICE,Has Lifestyle Ltd, ,BSE
HASTIFIN,HASTI FINANCE LTD.,Finance (including NBFCs),BSE
HATHWAY,Hathway Cable & Datacom Limited,Broadcasting & Cable TV,NSE
HATHWAY,Hathway Cable & Datacom Limited,Broadcasting & Cable TV,BSE
HATHWAYB,HATHWAY BHAWANI CABLETEL & DATACOM LTD.,Broadcasting & Cable TV,BSE
HATSUN,Hatsun Agro Product Limited,Packaged Foods,NSE
HATSUN,Hatsun Agro Product Limited,Packaged Foods,BSE
HAVELLS,Havells India Limited,Other Elect.Equip./ Prod.,BSE
HAVELLS,Havells India Limited,Other Elect.Equip./ Prod.,NSE
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Oil Marketing & Distribution,BSE
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Oil Marketing & Distribution,NSE
HAWAENG,Hawa Engineers Ltd,Industrial Machinery,BSE
HAWKINCOOK,HAWKINS COOKERS LTD.-$,Houseware,BSE
HAZOOR,HAZOOR MULTI PROJECTS LTD.-$,Movies & Entertainment,BSE
HBANKETF,HDFC Banking ETF, ,BSE
HBEL,Humming Bird Education Ltd,Education,BSE
HBESD,HB ESTATE DEVELOPERS LTD.,Realty,BSE
HBLEAS,HB LEASING & FINANCE CO.LTD.,Finance (including NBFCs),BSE
HBLPOWER,HBL Power Systems Limited,Other Elect.Equip./ Prod.,NSE
HBLPOWER,HBL Power Systems Limited,Other Elect.Equip./ Prod.,BSE
HBPOR,HB PORTFOLIO LTD.,Other Financial Services,BSE
HBSL,HB Stockholdings Limited,,NSE
HBSTOCK,HB STOCKHOLDINGS LTD.,Finance (including NBFCs),BSE
HCC,Hindustan Construction Company Limited,Construction & Engineering,NSE
HCC,Hindustan Construction Company Limited,Construction & Engineering,BSE
HCG,Healthcare Global Enterprises Limited,Healthcare Facilities,BSE
HCG,Healthcare Global Enterprises Limited,Healthcare Facilities,NSE
HCKKVENTURE,HCKK Ventures Ltd,Diversified,BSE
HCL-INSYS,HCL Infosystems Limited,Computer Hardware,NSE
HCL-INSYS,HCL Infosystems Limited,Computer Hardware,BSE
HCLTD,Hind Commerce Ltd,Comm.Trading  & Distribution,BSE
HCLTECH,HCL Technologies Limited,IT Consulting & Software,BSE
HCLTECH,HCL Technologies Limited,IT Consulting & Software,NSE
HDFC,Housing Development Finance Corporation Limited,Housing Finance ,NSE
HDFC,Housing Development Finance Corporation Limited,Housing Finance ,BSE
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Cos.,NSE
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Cos.,BSE
HDFCBANK,HDFC Bank Limited,Banks,BSE
HDFCBANK,HDFC Bank Limited,Banks,NSE
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,BSE
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,NSE
HDFCNIFETF,HDFC Nifty ETF, ,BSE
HDIL,Housing Development and Infrastructure Limited,Realty,BSE
HDIL,Housing Development and Infrastructure Limited,Realty,NSE
HEALINV,HEALTHY INVESTMENTS LTD.,Misc.Commercial Services,BSE
HEERAISP,HEERA ISPAT LTD.,Iron & Steel/Interm.Products,BSE
HEG,HEG Limited,Other Industrial Goods,NSE
HEG,HEG Limited,Other Industrial Goods,BSE
HEIDELBERG,HeidelbergCement India Limited,Cement & Cement Products,BSE
HEIDELBERG,HeidelbergCement India Limited,Cement & Cement Products,NSE
HELPAGE,Helpage Finlease Ltd,Finance (including NBFCs),BSE
HEMANG,Hemang Resources Ltd,Comm.Trading  & Distribution,BSE
HEMIPROP,Hemisphere Properties India Limited,Realty,BSE
HEMIPROP,Hemisphere Properties India Limited,Realty,NSE
HEMORGANIC,Hemo Organic Limited,Comm.Trading  & Distribution,BSE
HEOFDD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-DIVIDEND PAYOUT OPTION, ,BSE
HEOFDD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Direct, ,BSE
HEOFDG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-GROWTH OPTION, ,BSE
HEOFDG1126,HDFC EOF- II- 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund- Series 2- Direct, ,BSE
HEOFRD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-DIVIDEND PAYOUT OPTION, ,BSE
HEOFRD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Regular, ,BSE
HEOFRG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-GROWTH OPTION, ,BSE
HEOFRG1126,HDFC EOF- II - 1126D May 2017(1) plan under HDFC Equity Opportunities Fund - Series2 - Regular, ,BSE
HERANBA,Heranba Industries Limited,Agrochemicals,BSE
HERANBA,Heranba Industries Limited,Agrochemicals,NSE
HERCULES,Hercules Hoists Limited,Industrial Machinery,NSE
HERCULES,Hercules Hoists Limited,Industrial Machinery,BSE
HERITGFOOD,Heritage Foods Limited,Packaged Foods,BSE
HERITGFOOD,Heritage Foods Limited,Packaged Foods,NSE
HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,NSE
HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,BSE
HESTERBIO,Hester Biosciences Limited,Pharmaceuticals,BSE
HESTERBIO,Hester Biosciences Limited,Pharmaceuticals,NSE
HEXATRADEX,Hexa Tradex Limited,Comm.Trading  & Distribution,BSE
HEXATRADEX,Hexa Tradex Limited,Comm.Trading  & Distribution,NSE
HFCL,HFCL Limited,Telecom Cables,BSE
HFCL,HFCL Limited,Telecom Cables,NSE
HFIL,Himalaya Food International Ltd,Other Agricultural Products,BSE
HGINFRA,H.G. Infra Engineering Limited,Construction & Engineering,NSE
HGINFRA,H.G. Infra Engineering Limited,Construction & Engineering,BSE
HGS,Hinduja Global Solutions Limited,BPO/KPO,NSE
HGS,Hinduja Global Solutions Limited,BPO/KPO,BSE
HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.,Non-Durable Household Prod.,BSE
HIGHSTREE,HIGH STREET FILATEX LTD.,Textiles,BSE
HIKAL,Hikal Limited,Pharmaceuticals,BSE
